O1GeneName;O1ENSID;O1ENSTID;O1Biotype;O2GeneName;O2ENSID;O2ENSTID;O2Biotype;PMID
AIRN;ENSG00000268257;ENST00000609176,ENST00000601203;antisense;Airn;ENSMUSG00000078247;ENSMUST00000160932,ENSMUST00000162826,ENSMUST00000159791,ENSMUST00000159731,ENSMUST00000161890,ENSMUST00000079529;antisense;18789384, 19008856
DLX6-AS1;ENSG00000231764;ENST00000430027,ENST00000452769,ENST00000431497,ENST00000605417,ENST00000437331,ENST00000430404,ENST00000458352,ENST00000437541;antisense;Dlx6os1;ENSMUSG00000090063;ENSMUST00000159827,ENSMUST00000159568;antisense;24089468, 16705037, 18202870, 15183307,  15376329
EMX2OS;ENSG00000229847;ENST00000412075,ENST00000450314,ENST00000424371,ENST00000611404,ENST00000440007,ENST00000551288,ENST00000423419;antisense;Emx2os;ENSMUSG00000087095;ENSMUST00000136990;antisense;12573261
FENDRR;ENSG00000268388;ENST00000595886,ENST00000600553,ENST00000598996,ENST00000599749,ENST00000597578,ENST00000594398,ENST00000593604;lincRNA;Fendrr;ENSMUSG00000097336;ENSMUST00000181530,ENSMUST00000181231,ENSMUST00000182264;lincRNA;24381249, 23369715, 19571010, 23034409
FTX;ENSG00000230590;ENST00000603672,ENST00000602812,ENST00000602420,ENST00000430772,ENST00000602576,ENST00000602776,ENST00000429124,ENST00000418855,ENST00000455395,ENST00000423992;lincRNA;Ftx;ENSMUSG00000086370;ENSMUST00000130063,ENSMUST00000156240,ENSMUST00000145803,ENSMUST00000156211,ENSMUST00000125419,ENSMUST00000123841;lincRNA;12045143, 21254562,21118898
HOTAIR;ENSG00000228630;ENST00000424518,ENST00000455246,ENST00000425595,ENST00000453875,ENST00000439545;antisense;Hotair;ENSMUSG00000086903;ENSMUST00000151949;lincRNA;17604720, 17604716, 21637793,21862635
HOTTIP;ENSG00000243766;ENST00000421733,ENST00000614457,ENST00000605136,ENST00000472494,ENST00000521028;antisense;Hottip;ENSMUSG00000055408;ENSMUST00000152875,ENSMUST00000141300;lincRNA;21423168, 17451645
HOXA-AS3;ENSG00000254369;ENST00000518848,ENST00000521197,ENST00000518947,ENST00000521231,ENST00000524304;antisense;Hoxaas3;ENSMUSG00000085696;ENSMUST00000139055,ENSMUST00000136806,ENSMUST00000131502;antisense;14702039
JPX;ENSG00000225470;ENST00000602938,ENST00000602294,ENST00000602920,ENST00000602737,ENST00000602772,ENST00000414209,ENST00000602895,ENST00000453317,ENST00000602546,ENST00000602985,ENST00000415215,ENST00000538519;lincRNA;Jpx;ENSMUSG00000097571;ENSMUST00000181020,ENSMUST00000183027,ENSMUST00000182447,ENSMUST00000182486;lincRNA;21254562
KCNQ1OT1;ENSG00000269821;ENST00000597346;antisense;Kcnq1ot1;ENSMUSG00000101609;ENSMUST00000185789;antisense;10220444, 12772698
