O1ENSID	O2ENSID
ENSG00000283061	
ENSG00000263571	
ENSG00000258624	
ENSG00000185231	ENSDARG00000054949
ENSG00000234939	
ENSG00000161634	
ENSG00000229877	
ENSG00000219993	
ENSG00000242993	
ENSG00000109501	ENSDARG00000074617
ENSG00000109501	ENSDARG00000062341
ENSG00000140478	ENSDARG00000063197
ENSG00000119801	ENSDARG00000088929
ENSG00000227021	
ENSG00000254268	
ENSG00000264316	
ENSG00000237068	
ENSG00000242327	
ENSG00000227983	
ENSG00000226307	
ENSG00000237442	
ENSG00000219738	
ENSG00000219703	
ENSG00000282572	
ENSG00000228740	
ENSG00000254999	ENSDARG00000041974
ENSG00000213110	
ENSG00000280436	
ENSG00000259495	
ENSG00000273644	
ENSG00000269543	
ENSG00000184697	
ENSG00000169271	ENSDARG00000067714
ENSG00000250421	
ENSG00000232325	
ENSG00000275480	
ENSG00000234625	
ENSG00000226181	
ENSG00000242611	
ENSG00000156284	ENSDARG00000040628
ENSG00000156284	ENSDARG00000099950
ENSG00000156284	ENSDARG00000100832
ENSG00000224482	
ENSG00000223636	
ENSG00000150269	
ENSG00000242474	
ENSG00000229088	
ENSG00000259398	
ENSG00000265019	
ENSG00000225329	
ENSG00000253380	
ENSG00000267727	
ENSG00000239870	
ENSG00000159231	ENSDARG00000036587
ENSG00000259185	
ENSG00000276593	
ENSG00000236748	
ENSG00000270248	
ENSG00000240859	
ENSG00000274834	
ENSG00000171540	ENSDARG00000014201
ENSG00000171540	ENSDARG00000058379
ENSG00000228568	
ENSG00000228146	
ENSG00000269553	
ENSG00000259531	
ENSG00000251372	
ENSG00000197258	
ENSG00000270397	
ENSG00000253206	
ENSG00000237571	
ENSG00000214077	
ENSG00000225760	
ENSG00000248677	
ENSG00000259201	
ENSG00000249736	
ENSG00000228572	
ENSG00000125971	ENSDARG00000104233
ENSG00000125971	ENSDARG00000021582
ENSG00000248302	
ENSG00000245848	ENSDARG00000036074
ENSG00000250772	
ENSG00000280145	
ENSG00000132429	ENSDARG00000058551
ENSG00000261795	
ENSG00000271457	
ENSG00000108684	ENSDARG00000103289
ENSG00000279493	
ENSG00000186977	
ENSG00000239715	
ENSG00000187699	
ENSG00000175104	ENSDARG00000028058
ENSG00000178591	
ENSG00000236295	
ENSG00000249852	
ENSG00000261524	
ENSG00000132128	ENSDARG00000096306
ENSG00000177706	ENSDARG00000090338
ENSG00000177706	ENSDARG00000074317
ENSG00000250641	
ENSG00000128510	ENSDARG00000043722
ENSG00000128510	ENSDARG00000010146
ENSG00000146776	ENSDARG00000089860
ENSG00000132357	ENSDARG00000078731
ENSG00000132357	ENSDARG00000036767
ENSG00000132357	ENSDARG00000102364
ENSG00000132357	ENSDARG00000058685
ENSG00000149043	ENSDARG00000100776
ENSG00000229240	
ENSG00000259832	
ENSG00000100591	ENSDARG00000028664
ENSG00000100591	ENSDARG00000100317
ENSG00000130363	ENSDARG00000043470
ENSG00000261418	
ENSG00000240093	
ENSG00000223764	
ENSG00000214998	
ENSG00000197863	
ENSG00000267580	
ENSG00000223838	
ENSG00000235425	
ENSG00000250834	
ENSG00000226124	ENSDARG00000062423
ENSG00000273860	
ENSG00000139899	
ENSG00000263342	
ENSG00000251260	
ENSG00000261196	
ENSG00000182888	
ENSG00000164049	ENSDARG00000058871
ENSG00000226754	
ENSG00000248397	
ENSG00000228433	
ENSG00000216676	
ENSG00000270422	
ENSG00000249894	
ENSG00000232446	
ENSG00000184206	ENSDARG00000063197
ENSG00000238220	
ENSG00000249721	
ENSG00000248104	
ENSG00000243779	
ENSG00000101446	
ENSG00000151665	ENSDARG00000032780
