O1ENSID	O2ENSID
ENSMUSG00000093774	
ENSMUSG00000103256	
ENSMUSG00000092579	
ENSMUSG00000017688	ENSDARG00000071565
ENSMUSG00000101607	
ENSMUSG00000102624	
ENSMUSG00000086246	
ENSMUSG00000099888	
ENSMUSG00000092427	
ENSMUSG00000089914	
ENSMUSG00000081517	
ENSMUSG00000034201	ENSDARG00000078803
ENSMUSG00000083262	
ENSMUSG00000095321	
ENSMUSG00000030385	
ENSMUSG00000090300	
ENSMUSG00000022766	ENSDARG00000021208
ENSMUSG00000051486	
ENSMUSG00000100179	
ENSMUSG00000104068	
ENSMUSG00000086518	
ENSMUSG00000006050	ENSDARG00000053771
ENSMUSG00000031570	ENSDARG00000057672
ENSMUSG00000092520	
ENSMUSG00000101005	
ENSMUSG00000095962	
ENSMUSG00000005980	ENSDARG00000012539
ENSMUSG00000081076	
ENSMUSG00000099840	
ENSMUSG00000083843	
ENSMUSG00000093447	
ENSMUSG00000020287	ENSDARG00000069729
ENSMUSG00000081525	
ENSMUSG00000002791	
ENSMUSG00000083738	
ENSMUSG00000061728	
ENSMUSG00000024340	ENSDARG00000102296
ENSMUSG00000041144	ENSDARG00000060165
ENSMUSG00000078762	ENSDARG00000019156
ENSMUSG00000039375	ENSDARG00000075098
ENSMUSG00000098159	
ENSMUSG00000067971	
ENSMUSG00000061046	
ENSMUSG00000030584	ENSDARG00000099927
ENSMUSG00000046487	
ENSMUSG00000026650	ENSDARG00000045705
ENSMUSG00000099428	
ENSMUSG00000069296	
ENSMUSG00000094759	
ENSMUSG00000005442	ENSDARG00000071150
ENSMUSG00000005442	ENSDARG00000055502
ENSMUSG00000045178	
ENSMUSG00000100006	
ENSMUSG00000093662	
ENSMUSG00000100448	
ENSMUSG00000093444	
ENSMUSG00000107673	
ENSMUSG00000083252	
ENSMUSG00000104281	
ENSMUSG00000099386	
ENSMUSG00000080726	
ENSMUSG00000100015	
ENSMUSG00000082099	
ENSMUSG00000084092	
ENSMUSG00000100536	
ENSMUSG00000082878	
ENSMUSG00000090726	
ENSMUSG00000103090	
ENSMUSG00000081308	
ENSMUSG00000103012	
ENSMUSG00000073164	
ENSMUSG00000060981	ENSDARG00000090149
ENSMUSG00000103395	
ENSMUSG00000093416	
ENSMUSG00000041716	
ENSMUSG00000082721	
ENSMUSG00000099436	
ENSMUSG00000101556	
ENSMUSG00000102614	
ENSMUSG00000096626	
ENSMUSG00000083434	
ENSMUSG00000100053	
ENSMUSG00000086707	
ENSMUSG00000100252	
ENSMUSG00000071816	
ENSMUSG00000078139	ENSDARG00000051956
ENSMUSG00000103652	
ENSMUSG00000103218	
ENSMUSG00000097977	
ENSMUSG00000080947	
ENSMUSG00000033774	
ENSMUSG00000100575	
ENSMUSG00000081094	
ENSMUSG00000095990	ENSDARG00000092608
ENSMUSG00000081653	
ENSMUSG00000092599	
ENSMUSG00000004296	ENSDARG00000054542
ENSMUSG00000004296	ENSDARG00000033727
ENSMUSG00000004296	ENSDARG00000101415
ENSMUSG00000004296	ENSDARG00000069504
ENSMUSG00000085716	
ENSMUSG00000098158	
ENSMUSG00000101485	
ENSMUSG00000084076	
ENSMUSG00000108768	
ENSMUSG00000078214	
ENSMUSG00000101456	
ENSMUSG00000102366	
ENSMUSG00000099548	
ENSMUSG00000020600	ENSDARG00000089192
ENSMUSG00000069294	
ENSMUSG00000066438	ENSDARG00000091349
ENSMUSG00000067780	ENSDARG00000061292
ENSMUSG00000067780	ENSDARG00000045378
ENSMUSG00000100925	
ENSMUSG00000098082	
ENSMUSG00000084363	
ENSMUSG00000101066	
ENSMUSG00000102579	
ENSMUSG00000051599	
ENSMUSG00000095287	
ENSMUSG00000084353	
ENSMUSG00000081551	
ENSMUSG00000059229	
ENSMUSG00000052551	ENSDARG00000071823
ENSMUSG00000023185	
ENSMUSG00000103992	
ENSMUSG00000083792	
ENSMUSG00000022765	ENSDARG00000038518
ENSMUSG00000101745	
ENSMUSG00000100467	
ENSMUSG00000108287	
ENSMUSG00000094624	
ENSMUSG00000102316	
ENSMUSG00000030598	
ENSMUSG00000104102	
ENSMUSG00000091539	
ENSMUSG00000020283	ENSDARG00000071037
ENSMUSG00000014907	ENSDARG00000057929
ENSMUSG00000103603	
ENSMUSG00000095893	
ENSMUSG00000073722	
ENSMUSG00000023873	
ENSMUSG00000072761	
ENSMUSG00000096800	
ENSMUSG00000069376	
ENSMUSG00000101761	
ENSMUSG00000095135	
ENSMUSG00000056812	ENSDARG00000045301
ENSMUSG00000105092	
ENSMUSG00000083140	
ENSMUSG00000082852	
ENSMUSG00000082617	
ENSMUSG00000102576	
ENSMUSG00000104918	
ENSMUSG00000073551	
ENSMUSG00000085893	
ENSMUSG00000037214	ENSDARG00000059020
ENSMUSG00000089744	
ENSMUSG00000100991	
ENSMUSG00000097711	
ENSMUSG00000096696	
ENSMUSG00000084038	
ENSMUSG00000101105	
ENSMUSG00000081316	
ENSMUSG00000102853	
ENSMUSG00000094385	
ENSMUSG00000057963	ENSDARG00000013056
ENSMUSG00000057963	ENSDARG00000070583
ENSMUSG00000104318	ENSDARG00000088136
ENSMUSG00000104318	ENSDARG00000097170
ENSMUSG00000104318	ENSDARG00000099535
ENSMUSG00000104318	ENSDARG00000037695
ENSMUSG00000053040	ENSDARG00000005612
ENSMUSG00000101992	
ENSMUSG00000102467	
ENSMUSG00000086226	
ENSMUSG00000101235	
ENSMUSG00000000579	ENSDARG00000045909
ENSMUSG00000094098	
ENSMUSG00000058631	
ENSMUSG00000037735	
ENSMUSG00000004096	ENSDARG00000013382
